date,sleep_hours,hydration_liters,stress,activity_steps,caffeine,headache
2026-05-13,7.55,2.4,3.4,7934,1.9,0
2026-05-14,6.85,1.55,4.8,9758,1.0,0
2026-05-15,7.71,2.7,6.0,6804,0.4,0
2026-05-16,8.68,1.3,6.7,7723,2.2,1
2026-05-17,6.74,2.29,2.6,8242,1.2,0
2026-05-18,6.74,3.1,4.3,6277,0.6,0
2026-05-19,8.74,1.5,4.1,7403,1.4,0
2026-05-20,7.84,1.72,3.7,7022,0.9,0
2026-05-21,6.48,2.05,8.5,7175,3.7,1
2026-05-22,7.6,1.75,5.8,5608,2.9,1
2026-05-23,6.49,1.22,2.5,7044,2.0,1
2026-05-24,6.49,2.03,6.8,7896,3.5,0
2026-05-25,7.27,1.47,9.2,9612,2.1,1
2026-05-26,4.9,2.24,7.1,8726,1.1,0
2026-05-27,5.1,1.54,2.0,10875,3.5,1
2026-05-28,6.38,2.77,4.0,5618,2.5,0
2026-05-29,5.89,1.61,7.5,8570,1.0,0
2026-05-30,7.35,1.84,3.6,7330,1.8,0
2026-05-31,6.0,2.41,5.9,10941,1.1,1
2026-06-01,5.45,1.38,6.5,5545,0.6,1
2026-06-02,8.61,2.11,3.1,5488,2.9,0
2026-06-03,6.75,2.65,4.9,5921,3.9,0
2026-06-04,7.07,1.2,1.0,3176,0.6,0
2026-06-05,5.43,2.09,3.0,6053,2.6,0
2026-06-06,6.4,2.13,4.5,5633,1.3,0
2026-06-07,7.12,2.39,2.5,7270,1.5,0
2026-06-08,5.73,1.38,8.3,7615,1.4,1
2026-06-09,7.41,1.34,2.1,10377,1.1,0
2026-06-10,6.34,2.26,4.1,8710,2.0,0
2026-06-11,6.68,2.15,5.3,5961,1.2,0
2026-06-12,6.34,2.13,7.9,5382,2.3,0
2026-06-13,9.0,2.17,2.1,7885,1.9,0
2026-06-14,6.99,1.66,7.3,4623,1.8,1
2026-06-15,5.84,2.12,5.0,10296,1.1,0
2026-06-16,7.9,2.15,3.0,9122,1.4,0
2026-06-17,5.66,1.64,5.9,6155,2.8,0
2026-06-18,7.23,2.93,5.4,3916,2.5,0
2026-06-19,4.84,2.24,3.8,9436,1.0,0
2026-06-20,5.54,1.4,5.1,6793,2.1,1
2026-06-21,7.22,2.33,4.2,9228,2.8,0
2026-06-22,7.81,1.51,5.2,4130,0.3,0
2026-06-23,7.19,2.39,6.3,5921,2.5,1
2026-06-24,6.87,2.58,8.2,7009,1.3,0
2026-06-25,6.67,1.59,2.5,7084,2.6,0
2026-06-26,5.37,2.48,9.3,6189,1.2,0
2026-06-27,6.21,2.21,1.1,8121,0.2,0
2026-06-28,6.49,2.41,4.7,5078,0.4,0
2026-06-29,8.16,2.95,6.2,6743,2.0,0
2026-06-30,7.38,1.88,5.6,7216,2.3,1
2026-07-01,5.06,1.62,3.8,7925,1.1,1
2026-07-02,7.36,1.56,4.6,8280,2.6,0
2026-07-03,6.58,1.59,4.0,4975,0.3,1
2026-07-04,6.26,1.96,3.8,4238,1.9,0
2026-07-05,7.67,2.17,6.7,9299,0.8,0
2026-07-06,8.13,2.14,5.7,7598,1.3,0
2026-07-07,8.02,2.41,3.6,5652,2.0,0
2026-07-08,6.08,2.01,6.8,9792,1.1,1
2026-07-09,6.66,2.73,5.6,7208,1.6,1
2026-07-10,7.36,1.87,6.6,9122,3.0,0
2026-07-11,8.07,3.36,6.3,7121,1.4,0
2026-07-12,6.47,2.31,3.3,10709,2.8,0
2026-07-13,6.8,1.57,3.9,10159,0.9,0
2026-07-14,5.78,1.46,6.5,6551,2.5,1
2026-07-15,5.68,2.24,6.2,8748,3.4,0
2026-07-16,7.89,1.89,5.0,8161,0.0,0
2026-07-17,8.49,2.36,5.2,9463,1.2,0
2026-07-18,6.92,2.24,7.6,5263,2.6,1
2026-07-19,8.1,1.96,3.8,8234,1.8,0
2026-07-20,7.4,1.58,6.1,8905,2.4,0
2026-07-21,6.29,1.24,4.6,3834,1.4,1
2026-07-22,7.4,1.78,4.6,4870,2.1,0
2026-07-23,8.69,2.43,7.2,3329,1.8,0
2026-07-24,6.96,2.11,6.7,6515,3.2,0
2026-07-25,8.72,1.38,6.6,8291,2.3,0
2026-07-26,4.12,2.09,7.6,9704,2.3,1
2026-07-27,7.9,2.19,5.0,7133,1.6,0
2026-07-28,7.1,1.56,6.4,9931,1.5,0
